
transaction_id;transaction_date;transaction_time;transaction_qty;store_id;product_id;;;
1;01/01/2023;7:06:11;2;5;11;;;
2;01/01/2023;7:08:56;2;5;12;;;
3;01/01/2023;7:14:04;2;5;13;;;
4;01/01/2023;7:20:24;1;5;11;;;
5;01/01/2023;7:22:41;2;5;12;;;
6;01/01/2023;7:22:41;1;5;14;;;
7;01/01/2023;7:25:49;1;5;11;;;
8;01/01/2023;7:33:34;2;5;11;;;
9;01/01/2023;7:39:13;1;5;11;;;
10;01/01/2023;7:39:34;2;5;13;;;
11;01/01/2023;7:43:05;1;5;12;;;
12;01/01/2023;7:44:35;2;5;11;;;
13;01/01/2023;7:45:51;1;5;12;;;
14;01/01/2023;7:48:19;1;5;12;;; 
15;01/01/2023;7:52:36;2;5;11;;;
16;01/01/2023;7:59:58;2;5;12;;;
17;01/01/2023;7:59:58;1;5;14;;;
18;01/01/2023;8:00:18;1;8;12;;;
19;01/01/2023;8:00:39;2;8;13;;;
20;01/01/2023;8:11:45;1;8;13;;;
21;01/01/2023;8:17:27;2;8;11;;;
22;01/01/2023;8:24:26;2;5;12;;;
23;01/01/2023;8:24:26;1;5;14;;;
24;01/01/2023;8:29:38;1;8;12;;;
25;01/01/2023;8:31:23;1;8;11;;;
26;01/01/2023;8:33:08;1;5;12;;;
27;01/01/2023;8:33:08;1;5;14;;;
28;01/01/2023;8:35:03;2;5;12;;;
29;01/01/2023;8:35:03;1;5;14;;;
30;01/01/2023;8:41:57;2;8;11;;;
31;01/01/2023;8:52:03;1;8;11;;;
32;01/01/2023;8:52:32;1;5;11;;;
33;01/01/2023;8:54:33;2;5;11;;;
34;01/01/2023;8:56:27;2;5;11;;;
35;01/01/2023;8:57:46;1;8;12;;;
36;01/01/2023;8:58:55;1;5;11;;;
37;01/01/2023;9:00:12;1;5;12;;;
38;01/01/2023;9:00:24;2;8;11;;;
39;01/01/2023;9:07:13;1;8;12;;;
40;01/01/2023;9:08:09;2;8;12;;;
41;01/01/2023;9:08:13;1;8;11;;;
42;01/01/2023;9:10:30;2;5;13;;;
43;01/01/2023;9:10:30;1;5;14;;;
44;01/01/2023;9:11:06;1;5;12;;;
45;01/01/2023;9:11:06;1;5;14;;;
46;01/01/2023;9:13:01;1;5;12;;;
47;01/01/2023;9:13:15;2;5;12;;;
48;01/01/2023;9:14:16;1;5;12;;;
49;01/01/2023;9:14:17;1;8;11;;;
50;01/01/2023;9:14:25;1;8;12;;;
51;01/01/2023;9:14:41;1;8;11;;;
52;01/01/2023;9:15:09;2;5;12;;;
53;01/01/2023;9:15:13;2;5;12;;;
54;01/01/2023;9:19:21;2;5;11;;;
55;01/01/2023;9:19:26;1;8;13;;;
56;01/01/2023;9:21:08;1;5;11;;;
57;01/01/2023;9:22:17;1;8;12;;;
58;01/01/2023;9:22:46;1;5;11;;;
59;01/01/2023;9:29:56;2;8;11;;;
60;01/01/2023;9:29:56;1;8;14;;;
61;01/01/2023;9:29:57;1;8;12;;;
62;01/01/2023;9:34:17;2;8;11;;;
63;01/01/2023;9:40:13;1;5;11;;;
64;01/01/2023;9:41:22;2;5;12;;;
65;01/01/2023;9:41:22;1;5;14;;;
66;01/01/2023;9:44:20;2;5;12;;;
67;01/01/2023;9:44:46;1;5;11;;;
68;01/01/2023;9:46:46;2;5;11;;;
69;01/01/2023;9:47:40;2;8;11;;;
70;01/01/2023;9:50:44;2;5;11;;;
71;01/01/2023;9:50:44;1;5;14;;;
72;01/01/2023;9:52:58;1;5;12;;;
